data,novos.casos,casos.acumulados,obitos.novos,obitos.acumulados
2020-03-28,0,4,0,0
2020-03-29,1,5,0,0
2020-03-30,2,7,0,0
2020-03-31,6,13,0,0
2020-04-01,0,13,0,0
2020-04-02,1,14,0,0
2020-04-03,1,15,0,0
2020-04-04,0,15,0,0
2020-04-05,0,15,0,0
2020-04-06,0,15,0,0
2020-04-07,3,18,0,0
2020-04-08,1,19,0,0
2020-04-09,1,20,0,0
2020-04-10,0,20,1,1
2020-04-11,1,21,0,1
2020-04-12,2,23,0,1
2020-04-13,2,25,1,2
2020-04-14,0,25,0,2
2020-04-15,0,25,0,2
2020-04-16,3,28,0,2
2020-04-17,2,30,0,2
2020-04-18,1,31,0,2
2020-04-19,0,31,1,3
2020-04-20,4,35,0,3
2020-04-21,2,37,0,3
2020-04-22,6,43,0,3
2020-04-23,8,51,0,3
2020-04-24,2,53,0,3
2020-04-25,1,54,0,3
2020-04-26,0,54,0,3
2020-04-27,1,55,0,3
2020-04-28,3,58,0,3
2020-04-29,4,62,1,4
2020-04-30,0,62,0,4
2020-05-01,2,64,0,4
2020-05-02,0,64,0,4
2020-05-03,0,64,0,4
2020-05-04,2,66,0,4
2020-05-05,2,68,0,4
2020-05-06,6,74,0,4
2020-05-07,6,80,0,4
2020-05-08,7,87,0,4
2020-05-09,0,87,0,4
2020-05-10,1,88,0,4
2020-05-11,2,90,1,5
2020-05-12,7,97,0,5
2020-05-13,3,100,0,5
2020-05-14,4,104,0,5
2020-05-15,5,109,0,5
2020-05-16,1,110,0,5
2020-05-17,0,110,0,5
2020-05-18,12,122,0,5
2020-05-19,9,131,0,5
2020-05-20,8,139,0,5
2020-05-21,5,144,0,5
2020-05-22,10,154,1,6
2020-05-23,11,165,0,6
2020-05-24,1,166,0,6
2020-05-25,8,174,0,6
2020-05-26,7,181,0,6
2020-05-27,4,185,0,6
2020-05-28,15,200,0,6
2020-05-29,17,217,0,6
2020-05-30,2,219,1,7
2020-05-31,1,220,0,7
2020-06-01,29,249,0,7
2020-06-02,10,259,2,9
2020-06-03,35,294,0,9
2020-06-04,36,330,0,9
2020-06-05,15,345,1,10
2020-06-06,9,354,1,11
2020-06-07,4,358,0,11
2020-06-08,17,375,0,11
2020-06-09,24,399,1,12
2020-06-10,19,418,1,13
2020-06-11,7,425,0,13
2020-06-12,20,445,0,13
2020-06-13,5,450,0,13
2020-06-14,3,453,1,14
2020-06-15,18,471,2,16
2020-06-16,33,504,1,17
2020-06-17,22,526,1,18
2020-06-18,11,537,1,19
2020-06-19,8,545,1,20
2020-06-20,1,546,1,21
